Airport Code,Page Rank
KCG,0.6257345695906237
BRO,0.6249508930293732
EAA,0.6221120238909235
BLI,0.6206147996035358
SVS,0.6184922343137029
AVP,0.6161014445674666
TOL,0.6150093086325409
BNH,0.6126341143059219
KEK,0.6080220458086499
DRO,0.5950815381221433
MCN,0.5861940839567482
DJN,0.5861164890072987
DAB,0.5807491342224591
HNS,0.5757354160502064
DLH,0.5741732163387229
SLQ,0.5725847381723781
RST,0.5721800180453883
SKW,0.5702564028742
CSG,0.5603736481864965
TKE,0.5566649559414049
ESD,0.5564667607204498
CPR,0.5482112058085051
ADS,0.5455059722997961
EVV,0.5448325171285158
UGS,0.54460065588653
YUM,0.5419341132921652
CRW,0.540488533838265
KCQ,0.5373363807469208
MOB,0.5350405330163086
LNK,0.5349013703991647
KLW,0.5313409906186046
LAN,0.5295249029152301
BLV,0.5283215614662488
PDK,0.5282538597390749
PTA,0.5264473393066404
KEB,0.5243898440036966
USA,0.5215453386770869
KGK,0.5210887512858156
PSM,0.519460907033078
LNY,0.5145235142326046
SAF,0.5106712489455021
MOT,0.506813907006395
GFK,0.4995473551578435
HSH,0.4963986020583999
ATK,0.4946705888379147
TRI,0.49084327996244037
PTU,0.48981284453803525
PVU,0.48641989173168326
CPX,0.479116468780707
RMP,0.4742810641828809
PKB,0.47096932304725897
7AK,0.47012653654469405
SUS,0.46714749065975414
YKM,0.4657401369887113
GRI,0.45901851954144113
KCL,0.45682033107038555
CPS,0.4548987336791185
MGM,0.4540301732966063
IAG,0.44897379949767724
ELM,0.44747434832858535
TN8,0.4441489822281033
BFL,0.4339404190360715
SGY,0.43280479350392453
WMK,0.4303229095379235
ZXH,0.4303229095379235
ITO,0.43021754950182145
FRD,0.4298007097100915
EXI,0.4267373735067387
PEC,0.4267373735067387
PTL,0.42234251900705716
TUP,0.420612998509969
ABI,0.419976250125392
LUK,0.41854863725546887
RIV,0.41822355285380297
UTO,0.41724866967905627
CZN,0.41661604159946014
BCT,0.41451339794723285
ITH,0.4144835660577877
COU,0.413528992499366
MYK,0.4082047908793131
MXY,0.4082047908793131
SLN,0.40358996981117856
MHK,0.40144703637673884
NLG,0.4005711088756439
HTS,0.39821417652860447
MVY,0.39311930124063044
CLD,0.3926744457387864
09A,0.3804003989411603
