Airport Code,Page Rank
GRK,0.3687498883891726
HHH,0.3646377977903272
BDR,0.36327380578210394
PBG,0.361487060480983
IKO,0.36046429895645393
WSN,0.34649220353429294
TSM,0.3426781486144118
CLL,0.3425939390866668
CHU,0.3385201273110107
MHR,0.33765968366522303
VQS,0.33572714499396783
OWD,0.33467656968961695
ADK,0.33177379061789597
PYM,0.33105640026877425
MLU,0.3282892467544726
LBE,0.3255269121148068
JZT,0.3234459879253898
BKW,0.3234168747830135
GBH,0.3198739904604423
CEM,0.3180157112372016
A1K,0.3148901992981108
VIK,0.31128746481768044
LMA,0.31128746481768044
ENN,0.31128746481768044
MLY,0.30844113355918823
SMX,0.3002481456455903
ABY,0.2986958621988578
CLP,0.29429164584538803
MMH,0.2920284793362358
FLG,0.289181528515332
TWF,0.28858838137508025
DSI,0.28807813585059805
VRB,0.28798909371908393
BMG,0.2870846248551362
PML,0.2854287477272796
WWA,0.2851395743369684
ELV,0.2837032863231133
MBS,0.2829049863456175
CKB,0.2826049530131554
MKK,0.2819929341108848
DOF,0.281373782068895
FYV,0.28106956776518704
NYS,0.2809296899493519
SRV,0.2808648860472124
PWK,0.27983415195004085
HVN,0.2788363093905407
HYA,0.27607693730685323
TCL,0.2752953462888424
NUQ,0.27497176094199555
JRV,0.2702611345112462
SJT,0.26557496307413847
DPA,0.2608014637708836
FOE,0.2569528869004299
SQL,0.256542514953731
RDD,0.25375777790071996
MMU,0.2521861308353634
SSI,0.25133564024654376
STC,0.25015873616579887
KVC,0.2486885364321436
LSE,0.24626952047382705
UST,0.245462385155381
ERI,0.24504013636446986
APA,0.24102010988115677
SCK,0.2409124327302108
CMI,0.24018622085210223
TNC,0.24017200808811792
FNL,0.23885949719393934
SUX,0.22443222815570962
PDT,0.22374441477675402
KKL,0.2163436736163079
NGU,0.21482281898387318
SWO,0.2140693014482718
OAJ,0.21076909582765838
LMT,0.20947431674374514
GUC,0.20886414186714677
MSL,0.20882316668861006
CKX,0.20857882932650465
TEX,0.20835986487607
ORL,0.2071693677879797
SPI,0.20657880701533993
SVC,0.20642198795423683
GLH,0.20438327250790433
LUR,0.20437931224021286
TWA,0.20426988311517677
BIH,0.20397750502414694
OTH,0.20389401768929744
IMT,0.20114768505742242
ROW,0.20072963043546097
EHM,0.1997038067073907
AZO,0.1991162586851674
SPS,0.19825487852111448
EAR,0.19734850769164153
LAF,0.19637350550835625
VDZ,0.1901486051135345
XWA,0.18822261353684677
BFF,0.18809223801132488
LSV,0.18775878383523725
DQS,0.18386140449369445
EDF,0.18347356458887895
LGD,0.18122407920691147
KQA,0.17673794603562623
C01,0.17351659203750122
AVW,0.17265853427917946
LEB,0.1706311942712803
GCK,0.16989103765559552
CEC,0.16964614733006464
PUW,0.16962504202740933
OR4,0.168432089871541
GGG,0.1681554659366963
ALO,0.16791002423842927
CCR,0.16774729600347152
OGD,0.167402087498236
PHF,0.16524685976729223
PSE,0.16503009744203226
HIB,0.16495679869788515
RBG,0.16435123456698733
BFD,0.16338753917372778
CMX,0.1627819063794052
MCE,0.16270649116900954
BJI,0.16247586464935057
MQT,0.16231813773268913
HGR,0.162158429148705
LWS,0.16201621083620965
ESC,0.16146525290432398
OWB,0.16132068131424893
SLE,0.16065031785163542
EAT,0.1605458433427824
LYH,0.15999739080383052
PRB,0.15918390539276117
EWN,0.15750470407964726
RSN,0.1560483205146242
AL3,0.1560483205146242
RLU,0.15572706574217357
MHM,0.15572706574217357
BIG,0.15572706574217357
A27,0.15572706574217357
PIR,0.15420332484888633
EWB,0.15274563145338516
SHD,0.15116816667114505
ISM,0.15045386375527675
FSM,0.1500790664498289
CNO,0.14727457746793765
NEW,0.14412395133891553
COD,0.14293049352840329
AKB,0.14179185217102816
FXE,0.14123140858447306
LNS,0.1359089580038693
ART,0.13460503042061236
2AK,0.13417716296842333
WRI,0.13392079434031767
CLM,0.1315806284727936
HLN,0.12833375094817992
HKY,0.12792490438563903
TCT,0.12673346070506006
TLJ,0.12673346070506006
UT1,0.1264397624244327
TXK,0.1261621718243232
FHB,0.12603554283959567
TVF,0.12574634887705072
DHN,0.1255767438981948
FMY,0.12515685625959455
PIH,0.12487619799095262
TRM,0.12475703244646766
AGC,0.12433035208298418
JLN,0.12411159475829785
EAU,0.12408814101135736
BAF,0.12401724515006558
BRD,0.12398274142333794
SBY,0.12394079285129275
GTR,0.12387207001530375
HOB,0.12375022156250434
BGM,0.12370298316147273
RUT,0.12351723663874403
NYL,0.12273276728432089
INT,0.12241556066723928
LGU,0.12241501195672057
IPL,0.12206931468622632
FOK,0.12199680605515295
RHI,0.12191029461260751
CIU,0.12178615422151379
FOD,0.12109089814289899
RWI,0.12080647645607778
PNE,0.12048598262699527
BTM,0.12044636706144765
BFM,0.12034389430026167
PRC,0.11950142490304884
LWB,0.11949911084704923
PGV,0.11903771440562215
CYS,0.11671349533779847
GSB,0.11642181265292134
CDC,0.11611072769710523
PLN,0.11598338167834626
UGN,0.11456383584499129
GDC,0.11435846165020562
APN,0.11386403431683408
DIK,0.11172186986087526
MTH,0.1109610011670584
KFP,0.10578216205086637
SIG,0.10218969972137708
FMN,0.09974230299136286
TKF,0.09856308395088237
MVL,0.09532063670707343
A20,0.09515763589010058
FVQ,0.09515763589010058
HLG,0.0942790592412868
GVL,0.09274121451170533
LUP,0.09213108487928061
FL7,0.09169708260669551
CZF,0.09148205716169064
GGE,0.0900124059618543
PPG,0.0897612824535024
JHM,0.0897612824535024
TYR,0.08974479511738594
FLO,0.08965477407028535
JZI,0.08848231319271699
ALS,0.08841929308053972
MRK,0.08715546047206324
MTN,0.0866693050461137
RKS,0.08628009886678127
BHB,0.08526344616333598
ELD,0.08518051068974125
HRO,0.08518051068974125
HOT,0.08518051068974125
PQI,0.08510033029593443
LAW,0.08487888157987603
CNM,0.08462614816668347
LCH,0.08461231897427525
UKI,0.08398590476105094
FDK,0.08382048046238152
CVN,0.08376061731637634
VUO,0.08359356752594499
BIF,0.08346847546119861
DOV,0.08318550723166432
DBQ,0.08311408373681013
SLK,0.08306246059238667
ONP,0.08303436384057694
INL,0.0830086841487907
MSS,0.08290898497444024
CVO,0.08288674321526401
